date,time,condition,dew_point_fahrenheit,humidity_percentage,wind,wind_speed_mph,wind_gust_mph,pressure_in,precip._in,temperature_fahrenheit
1/1/2023,0:00:00,Fog,59,78,CALM,0,0,30.06,0,66
1/1/2023,0:30:00,Fog,59,78,CALM,0,0,30.03,0,66
1/1/2023,1:00:00,Fog,61,83,CALM,0,0,30.03,0,66
1/1/2023,1:30:00,Fog,61,88,CALM,0,0,30.03,0,64
1/1/2023,2:00:00,Fog,61,88,CALM,0,0,30.03,0,64
1/1/2023,2:30:00,Fog,61,88,ENE,5,0,30,0,64
1/1/2023,3:00:00,Fog,59,88,NE,5,0,30,0,63
1/1/2023,3:30:00,Fog,59,88,NE,6,0,30,0,63
1/1/2023,4:00:00,Fog,61,94,NE,3,0,30.03,0,63
1/1/2023,4:30:00,Fog,59,94,CALM,0,0,30.03,0,61
1/1/2023,5:00:00,Fog,59,94,CALM,0,0,30.03,0,61
1/1/2023,5:30:00,Fog,59,94,CALM,0,0,30.03,0,61
1/1/2023,6:00:00,Fog,59,94,CALM,0,0,30.03,0,61
1/1/2023,6:30:00,Fog,57,94,CALM,0,0,30.06,0,59
1/1/2023,7:00:00,Fog,57,94,CALM,0,0,30.06,0,59
1/1/2023,7:30:00,Fog,59,94,CALM,0,0,30.09,0,61
1/1/2023,8:00:00,Fog,61,94,CALM,0,0,30.09,0,63
1/1/2023,8:30:00,Fog,61,94,CALM,0,0,30.12,0,63
1/1/2023,9:00:00,Fog,61,94,CALM,0,0,30.12,0,63
1/1/2023,9:30:00,Fog,61,94,NE,6,0,30.12,0,63
1/1/2023,10:00:00,Fog,63,94,CALM,0,0,30.12,0,64
1/1/2023,10:30:00,Fog,61,88,CALM,0,0,30.12,0,64
1/1/2023,11:00:00,Fog,63,88,E,5,0,30.12,0,66
1/1/2023,11:30:00,Fog,63,88,ESE,6,0,30.12,0,66
1/1/2023,12:00:00,Fog,63,83,E,5,0,30.09,0,68
1/1/2023,12:30:00,Fog,63,78,E,6,0,30.06,0,70
1/1/2023,13:00:00,Fog,63,78,ENE,6,0,30.06,0,70
1/1/2023,13:30:00,Haze,63,73,ENE,6,0,30.03,0,72
1/1/2023,14:00:00,Haze,61,69,ENE,9,0,30.03,0,72
1/1/2023,14:30:00,Haze,61,69,NNE,7,0,30,0,72
1/1/2023,15:00:00,Haze,59,61,NE,8,0,30,0,73
1/1/2023,15:30:00,Haze,57,57,CALM,0,0,30,0,73
1/1/2023,16:00:00,Haze,55,53,CALM,0,0,30,0,73
1/1/2023,16:30:00,Haze,57,57,CALM,0,0,30,0,73
1/1/2023,17:00:00,Haze,55,57,CALM,0,0,30,0,72
1/1/2023,17:30:00,Haze,55,57,CALM,0,0,30,0,72
1/1/2023,18:00:00,Haze,55,60,CALM,0,0,30,0,70
1/1/2023,18:30:00,Haze,55,60,CALM,0,0,30.03,0,70
1/1/2023,19:00:00,Haze,55,64,CALM,0,0,30.03,0,68
1/1/2023,19:30:00,Haze,55,64,CALM,0,0,30.03,0,68
1/1/2023,20:00:00,Haze,57,68,CALM,0,0,30.06,0,68
1/1/2023,20:30:00,Haze,59,73,ENE,3,0,30.06,0,68
1/1/2023,21:00:00,Haze,59,73,ENE,3,0,30.06,0,68
1/1/2023,21:30:00,Haze,59,73,ENE,3,0,30.06,0,68
1/1/2023,22:00:00,Haze,59,73,CALM,0,0,30.06,0,68
1/1/2023,22:30:00,Haze,59,73,CALM,0,0,30.06,0,68
1/1/2023,23:00:00,Haze,59,73,CALM,0,0,30.06,0,68
1/1/2023,23:30:00,Haze,59,73,CALM,0,0,30.06,0,68
1/2/2023,0:00:00,Fog,61,78,CALM,0,0,30.03,0,68
1/2/2023,0:30:00,Fog,59,78,CALM,0,0,30.03,0,66
1/2/2023,1:00:00,Fog,59,78,CALM,0,0,30.03,0,66
1/2/2023,1:30:00,Fog,59,78,CALM,0,0,30.03,0,66
1/2/2023,2:00:00,Fog,59,78,CALM,0,0,30.03,0,66
1/2/2023,2:30:00,Fog,61,83,CALM,0,0,30,0,66
1/2/2023,3:00:00,Fog,59,83,CALM,0,0,30,0,64
1/2/2023,3:30:00,Fog,59,88,CALM,0,0,30,0,63
1/2/2023,4:00:00,Fog,59,88,CALM,0,0,30,0,63
1/2/2023,4:30:00,Fog,59,88,CALM,0,0,30,0,63
1/2/2023,5:00:00,Fog,61,94,CALM,0,0,30,0,63
1/2/2023,6:00:00,Fog,59,94,CALM,0,0,30.03,0,61
1/2/2023,6:30:00,Fog,57,94,CALM,0,0,30.03,0,59
1/2/2023,7:00:00,Fog,57,94,CALM,0,0,30.06,0,59
1/2/2023,7:30:00,Fog,57,94,CALM,0,0,30.06,0,59
1/2/2023,8:00:00,Fog,59,94,CALM,0,0,30.09,0,61
1/2/2023,8:30:00,Fog,61,94,CALM,0,0,30.09,0,63
1/2/2023,9:00:00,Fog,61,88,CALM,0,0,30.12,0,64
1/2/2023,9:30:00,Fog,63,88,CALM,0,0,30.12,0,66
1/2/2023,10:00:00,Fog,63,83,CALM,0,0,30.12,0,68
1/2/2023,10:30:00,Fog,63,78,WNW,6,0,30.12,0,70
1/2/2023,11:00:00,Fog,64,78,N,5,0,30.12,0,72
